 
				
					
					
				Nombre;Descripción del conjunto de datos;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Última actualización de los metadatos:;Frecuencia de actualización:;Editor:;Licencia:;Lugar:;Formatos
Selección puntos de interés turístico de Madrid;" Selección de los puntos de interés turístico más relevantes de la ciudad de Madrid.  La selección está realizada por el equipo de gestión del portal de promoción turística de la ciudad de Madrid esmadrid.com.   La información incluye los datos básicos de cada punto, una descripción, su geoposición y dirección postal, así como un conjunto de fotografías relativas a cada lugar. En los casos en los que aplica, se ofrecen horarios de apertura y costes de acceso si los tuviera.  La información se proporciona en distintos idiomas.   IMPORTANTE: Este conjunto de datos tiene unas condiciones de uso especificas y un poco diferentes al resto de conjuntos de datos del portal. Por favor, revise las mismas. (Los textos son de libre uso pero no así las fotografías).  ";turismo;;09/04/2015;09/04/2015 00:00;diaria;Ayuntamiento de Madrid;http://datos.madrid.es/portal/site/egob/menuitem.d3089948cb18b1bb68d8a521ecd08a0c/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&amp;vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD;Madrid,;xml,
Deportes: Juegos Deportivos Municipales 2014 / 2015. Deportes colectivos;" En cumplimiento del Plan Estratégico del deporte de Base 2013-2020 la Dirección General de Deportes del Ayuntamiento de Madrid, junto con los 21 distritos, convoca y organiza los 35 Juegos Deportivos Municipales, como parte del programa de Competiciones Municipales.  Los Juegos Deportivos Municipales constituyen la oferta deportiva de competición más accesible para el deportista aficionado madrileño, especialmente orientada a los centros escolares y clubes deportivos con deportistas en edad escolar, tanto por los precios asequibles (gratuitos en el caso de los 16 deportes individuales convocados) como por la simplicidad de los trámites por la incorporación de las nuevas tecnologías.  Los Juegos Deportivos Municipales son una de las competiciones más grandes de Europa, con cerca de 120.000 participantes, 70.000 de ellos en edad escolar. La celebración de más de 55.000 encuentros de los 9 deportes colectivos y casi las 100 jornadas de deportes individuales, los sitúan como uno de los mayores eventos deportivos de nuestra ciudad.  Además, con la incorporación de la Esgrima, en esta nueva edición, se pretende enfatizar los valores de juego limpio y deportividad, la diversión frente al resultado y, sobre todo, la promoción de la salud mediante la adquisición, desde edades tempranas, de hábitos deportivos, mediante campañas específicas dirigidas tanto a jugadores como a entrenadores y padresEl Ayuntamiento de Madrid, a través de la Dirección General de Deportes y los Distritos, organiza los Juegos Deportivos Municipales.   En este conjunto de datos,  puede obtener semanalmente la información de los partidos y clasificaciones. Estará disponible cada miércoles .  Tenga presente que en este mismo portal, existe otros dos conjuntos de datos complementarios como son:   Centros Deportivos Municipales (Polideportivos)  Instalaciones Deportivas Básicas Municipales    A la derecha, en documentación asociada, tiene documentos explicativos.  ";deporte;Deportes,;17/12/2014;21/04/2015 00:00;semanal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Rodajes;" Resumen mensual de ocupaciones en la vía pública por distrito con motivo de rodajes. Información del tipo de grabación para el que se realizan las peticiones de reserva de espacio en vía pública.  Desglose por tipo de vía utilizada (vía pública o parque)  y por tipo de actuación solicitada:    Rodajes cinematográficos, documentales y reportajes. Acto comunicado.  Para aquellos casos en que el rodaje, aún necesitando la acotación de una pequeña superficie en espacios destinados al tránsito de peatones, no necesite la utilización de equipos electrotécnicos, no dificulte la circulación de vehículos y peatones y el equipo de trabajo no supere las quince personas.    Rodajes cinematográficos, documentales y reportajes. Permiso de ocupación de la vía pública.   Para los casos en que el rodaje necesite la acotación de una superficie en vía pública y/o espacios verdes públicos destinados al tránsito de peatones, necesite la utilización de equipos electrotécnicos, dificulte la circulación de vehículos y peatones y el equipo de trabajo supere las quince personas.  ";cultura-ocio;;05/02/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Presupuestos municipales: Ejecución presupuestaria 2011-2014;" Ejecución presupuestaria de los Presupuestos Municipales de 2011 a 2014. Incluye la Información de:  - 001 Ayuntamiento de Madrid  - 501 OO.AA. I.A.M. (Informática del Ayuntamiento de Madrid) - 503 OO.AA. Agencia para el Empleo de Madrid - 504 OO.AA. Patronato de turismo de Madrid (datos solo 2011, ya que ese año desapareció) - 506 OO.AA. Agencia Tributaria de Madrid - 507 OO.AA. Madrid Emprende - 508 OO.AA. Madrid Salud - 509 OO.AA. Agencia Gestión Licencias de Actividades  El nivel de granularidad con que se presentan el presupuesto y su ejecución mensual supone que los ciudadanos y las instituciones interesadas tienen toda la información necesaria para un estudio detallado.  Existen en el Portal de Datos Abiertos, los siguientes conjuntos de datos relacionados con información presupuestaria:    Presupuestos Municipales 2015    Presupuestos Municipales 2012-2014     Presupuestos Municipales: Ejecución presupuestaria 2015    A la derecha, en documentación asociada, tiene un documento explicativo con la estructura de los campos de los ficheros que se pueden descargar. ";hacienda;Gestión Presupuestaria,Hacienda,;04/02/2015;23/03/2015 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Inmigrantes: personas en cursos de Español;" Inmigrantes: personas en Cursos de Español. Personas extranjeras que acuden a la Oficina Municipal como alumnado en clases de español para extranjeras.  La información se presentará de forma semestral. ";sociedad-bienestar;;27/01/2015;;semestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Inmigrantes: personas atendidas en el Servicio de Información y Orientación;" Inmigrantes: personas atendidas en el Servicio de Información y Orientación. Referido a las personas extranjeras que acuden a la Oficina Municipal solicitando información y orientación en materia de extranjería u otros sistemas que ayuden a la integración social.  La información se presentará semestralmente.  ";sociedad-bienestar;;27/01/2015;;semestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Inmigrantes: personas atendidas en el Servicio de Empleo;" Inmigrantes: personas atendidas en el Servicio de empleo. Referido a las personas extranjeras que han acudido a la Oficina Municipal solicitando información para lograr una inserción laboral plena (trabajo).  La información se presentará de forma semestral ";sociedad-bienestar;;27/01/2015;;semestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Contaminación acústica: Estaciones de medida;"  Relación de estaciones de medida con su localización geográfica, altitud y fecha de alta.  ";medio-ambiente;;09/04/2015;30/03/2015 00:00;semestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Contaminación acústica: Datos históricos mensuales;" Datos históricos de contaminación acústica registrados en la ciudad de Madrid.  Se incluye información anual del periodo comprendido entre 1998 y2015.  Cada anualidad presenta los datos por meses. Los datos correspondientes a 2015, se irán actualizando mensualmente. ";medio-ambiente;;09/04/2015;30/03/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Catastro: Datos catastrales estadísticos a nivel de distrito y barrio;" Catastro: Datos catastrales estadísticos a nivel de distrito y barrio  Los datos que se incluyen en la hoja de cálculo se obtienen a partir de la información de los bienes inmuebles incluidos en el Catastro Urbano de Madrid, que la Dirección General del Catastro proporciona al Ayuntamiento de Madrid en el marco del convenio de colaboración suscrito por ambas administraciones en materia de gestión catastral. La principal norma jurídica que regula el catastro es el Texto Refundido de la Ley del Catastro Inmobiliario, aprobado por Real Decreto Legislativo 1/2004 de 5 de enero (BOE de 8 de marzo). Determinados aspectos técnicos de la información catastral y la forma de determinar el valor catastral se encuentran en el Real Decreto 1020/1993 de 25 de junio (BOE de 22 de julio), por el que se aprueban las Normas Técnicas de Valoración y el cuadro marco de valores del suelo y de las construcciones para determinar el valor catastral de los bienes inmuebles de naturaleza urbana.  La información catastral se ha completado con el dato de barrio y distrito municipales, información obtenida en función de la cartografía digital del Ayuntamiento de Madrid.   Los datos se encuentran agregados por barrio municipal y uso catastral, y se incluyen datos sobre totales de inmuebles catastrales, y suma o media aritmética de determinados datos. Esta agregación de datos ha sido realizada por la Agencia Tributaria Madrid.  La información catastral, en general, está sujeta a la legislación sobre propiedad intelectual, siendo su titular la Administración General del Estado. ";hacienda;Vivienda,Hacienda,;09/04/2015;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Cita previa (Línea Madrid);" Desde el año 2008, el Ayuntamiento de Madrid, a través de Línea Madrid, dispone de un servicio de cita previa ampliamente utilizado para la concertación de atenciones a los ciudadanos en diversas materias.  Estas citas se conciertan a través de:    https://sede.madrid.es/portal/site/tramites/menuitem.d3089948cb18b1bb68d8a521ecd08a0c/?vgnextoid=4a84de8cdd5e6210VgnVCM1000000b205a0aRCRD&amp;vgnextchannel=d6e537c190180210VgnVCM100000c90da8c0RCRD  (Sede Electrónica)  Teléfonos móviles inteligentes, 010-Línea Madrid (todos ellos disponibles las 24 horas del día todos los días del año)   Las propias Oficinas de Atención al Ciudadano    A la derecha, en documentación asociada, tiene un documento explicativo.  ";sector-publico;;03/02/2015;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;txt,
Elecciones Senado: 2000 - 2011;"Censo electoral, abstenciones y votos a candidaturas (valores absolutos) en Madrid capital por distritos y barrios, en las elecciones al Senado realizadas en los años 2000, 2004, 2008 y 2011.";sector-publico;Elecciones,Administración Pública,;11/12/2014;;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Eventos municipales para el fomento de la igualdad de oportunidades los próximos 100 días;" Relación de eventos y actividades municipales para el fomento de la igualdad de oportunidades, que se van a celebrar en los próximos 100 dias y/o que se están celebrando.   Incluye información relativa a los colectivos de mujeres y de inmigrantes.  Tenga en cuenta que hay ciertas actividades que aunque son gratuitas , requieren inscripción previa. En el campo &quot;CONTENT-URL&quot;,  esta la url donde puede obtener información adicional de la actividad y donde se especifíca si se requiere inscripción y como realizarla . Hay otras actividades, que si tienen un coste asociado,  igualmente tiene la información en la url anterior.   A la derecha, en documentación asociada, tiene un documento explicativo.  ";sociedad-bienestar;;15/12/2014;;diaria;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Elecciones Asamblea de Madrid: 1983-2011;" Censo electoral, abstenciones y votos a candidaturas (valores absolutos) en Madrid capital por mesas electorales, en las elecciones a la Asamblea de la Comunidad Autónoma de Madrid.  En el Banco de Datos del Ayuntamiento de Madrid se habilitan herramientas para filtrar los resultados por año, distrito, barrio y tipo de voto. En esta misma página a la derecha tiene un enlace para poder acceder al mismo. También puede encontrar otro enlace a la web donde se encuentra los mapas electorales. ";sector-publico;Elecciones,Administración Pública,;03/12/2014;;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Elecciones Ayuntamiento de Madrid: 1983-2011;" Censo electoral, abstenciones y votos a candidaturas (valores absolutos) por mesas electorales, en las elecciones al Ayuntamiento de Madrid.  En el Banco de Datos del Ayuntamiento de Madrid se habilitan herramientas para filtrar los resultados por año, distrito, barrio y tipo de voto. En esta misma página a la derecha tiene un enlace para poder acceder al mismo. También puede encontrar otro enlace a la web donde se encuentra los mapas electorales. ";sector-publico;Elecciones,Administración Pública,;03/12/2014;;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Elecciones Congreso de los Diputados: 1989-2011;" Censo electoral, abstenciones y votos a candidaturas (valores absolutos) en Madrid capital por mesas electorales, en las elecciones al Congreso de los Diputados.  En el Banco de Datos del Ayuntamiento de Madrid se habilitan herramientas para filtrar los resultados por año, distrito, barrio y tipo de voto. En esta misma página a la derecha tiene un enlace para poder acceder al mismo. También puede encontrar otro enlace a la web donde se encuentra los mapas electorales. ";sector-publico;Participación Ciudadana,Elecciones,;03/12/2014;;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Elecciones Parlamento Europeo: 1987-2014;" Censo electoral, abstenciones y votos a candidaturas (valores absolutos) en Madrid capital por mesas electorales, en las elecciones al Parlamento Europeo.  En el Banco de Datos del Ayuntamiento de Madrid se habilitan herramientas para filtrar los resultados por año, distrito, barrio y tipo de voto. En esta misma página a la derecha tiene un enlace para poder acceder al mismo. También puede encontrar otro enlace a la web donde se encuentra los mapas electorales. ";sector-publico;Elecciones,Administración Pública,;03/12/2014;;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Deportes: Piscinas municipales en la ciudad de Madrid.;" La información proporcionada se refiere al centro deportivo municipal (o instalaciones deportivas que cuentan con participación municipal) donde exista piscina, indicando adicionalmente el resto de instalaciones deportivas o deportes practicables en dicho centro.   Tenga en cuenta, que algunas pueden ser cubiertas y otras al aire libre. Esta información la puede revisar en el campo &quot;Descripción&quot;, en el cual se refleja las &quot;Unidades deportivas al aire libre&quot; y las &quot;Unidades deportivas cubiertas&quot;.   A la derecha, en documentación asociada, tiene un documento explicativo.  ";deporte;;25/11/2014;;tiemporeal;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Multas de circulación: detalle;" En este conjunto de datos, se irán incorporando todas las multas de circulación que Ayuntamiento de Madrid tramita cada mes, con todo el detalle posible sobre cada una de ellas que permite la legislación de protección de datos. Se incluye información sobre la infracción cometida, su gravedad o el lugar donde se denunció. La información se ajusta a los datos existentes en el momento de la publicación de la misma, y no prejuzgan el resultado final de la multa como consecuencia reclamaciones y/ o recursos de las personas denunciadas.  Por motivos de protección de datos, existe un número de infracciones que se han agrupado, indicando solamente el número y el importe total de todas ellas. Porcentualmente, es un número ínfimo.  Se recuerda, que está expresamente prohibido realizar labores de re-identificación personal de la información .  La información que se proporciona es la que se tiene en los sistemas de información del Ayuntamiento, en el momento de la extracción, con lo cual pudieran existir alguna infracción que todavía no se hubiese mecanizado, en ese momento, lo cual no quiere indicar que no exista. Este número de infracciones de existir, seria mínimo.  En estos ficheros de detalle, no se contabilizan las denuncias que contienen algún error y tampoco las anuladas.  El campo &quot;impor_bol&quot; es el importe de la sanción prevista para la infracción. El mismo se verá reducido en un 50% si se paga la multa en el plazo de tiempo establecido en la Ley de Seguridad Vial y no se corresponde necesariamente con el que se recaudará efectivamente. Existe otro conjunto de datos de multas existente en el portal, con información complementaria y que contiene estadísticas mensuales de importes recaudados en vía voluntaria e importes transferidos a la vía ejecutiva (este último dato no implica que haya sido cobrada esa cantidad en ejecutiva).  También dispone en el Portal de distintos conjuntos de datos presupuestos, con previsiones de recaudación anual y con la ejecución mensual de esa previsión. ";transporte;;17/12/2014;;trimestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,txt,
Multas de circulación;" En este conjunto de datos se incluye información detallada de la gestión municipal de las multas de circulación cuya competencia corresponde al Ayuntamiento de Madrid. Puede consultarse la evolución, a lo largo del tiempo, del número de boletines de denuncia formulados, de la recaudación obtenida por las multas de tráfico, de las alegaciones y recursos presentados o sobre la forma en la que se atiende a los ciudadanos que se interesan por sus multas. ";transporte;Circulación,;20/11/2014;12/03/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Mercados Municipales: locales comerciales, nombres comerciales y actividades;" Los mercados municipales constituyen un servicio público profundamente arraigado en la cultura de los madrileños; mantienen una relevante función como referentes del comercio tradicional de alimentos frescos y de la vida social de los barrios.  Se indica para los 46 mercados que conforman la red municipal, la información de locales comerciales, actividad, nombre comercial y planta o ubicación.  Este conjunto de datos, complementa a otro publicado en este portal que es &quot;Mercados Municipales&quot;, donde esta la relación de los mismos, y su dirección. ";comercio;Comercio,Urbanismo e infraestructuras,;07/11/2014;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Contenedores de pilas en marquesinas de autobús;"Las pilas alcalinas/salinas y pilas de &ldquo;botón&rdquo; a desechar deben llevarse a un Punto Limpio móvil, ya que su presencia junto al resto de residuos puede resultar peligrosa.   La ciudad de Madrid dispone además de una red de dispositivos especialmente preparados para depositar las pilas en las marquesinas de las paradas de autobús. En este conjunto de datos se proporciona esta información.";medio-ambiente;Medio Ambiente,Limpieza urbana y recogida de residuos,Impacto ambientas,;04/11/2014;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Agenda de eventos en Madrid Emprende: cursos y talleres gratuitos sobre emprendimiento;" Cursos y talleres gratuitos y abiertos sobre emprendimiento, innovación, eCommerce, Internet, SEO, desarrollo, nuevas metodologías, internacionalización, y más.    Importante:  tenga presente que esta agenda se actualiza en el portal de datos abiertos una vez cada quince días, por lo que la actividad, curso o taller puede sufrir algún cambio de última hora que no quede reflejado en este portal. Por ello, le recomendamos que siempre revise la web de Madrid Emprende antes de asistir a cualquier evento. También tenga presente que dependiendo del tipo de evento, normalmente será necesario el registro previo.  Para consultar la información actualizada consulta  www.madridemprende.es/agenda   En este mismo portal, también dispone de un conjunto de datos llamado &quot;Infraestructuras dirigidas a emprendedores y a pymes&quot; con la ubicación de los distintos centros. ";economia;Economía,;31/10/2014;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,
Presupuestos municipales 2015;" Presupuestos municipales 2015.  Aprobados en Acuerdo de 19 de diciembre de 2014 del Pleno del Ayuntamiento de Madrid. Publicados en  BOAM núm. 7.323,  de 30 de diciembre de 2014; BOCM núm. 310, de 30 de diciembre de 2014.  El nivel de granularidad con que se presentan el presupuesto y su ejecución mensual supone que los ciudadanos y las instituciones interesadas tienen toda la información necesaria para un estudio detallado.  Existen en el Portal de Datos Abiertos, los siguientes conjuntos de datos relacionados con información presupuestaria:    Presupuestos Municipales 2012-2014     Presupuestos Municipales: Ejecución presupuestaria 2011-2014    Presupuestos Municipales: Ejecución presupuestaria 2015    A la derecha, en documentación asociada, tiene un documento explicativo con la estructura de los campos de los ficheros que se pueden descargar. ";hacienda;Información financiera y presupuestaria,;05/01/2015;05/01/2015 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Taxi: Situación y Gestión;" En este conjunto de datos puede obtener una visión de la situación del Taxi en la Ciudad de Madrid (licencias y conductores). También figura otro fichero con la información de la gestión realizada desde el 1 de enero (transmisiones, sustituciones, permisos de autotaxi, revisiones, revistas, ... etc).  Existen en este portal otros dos conjuntos de datos relacionados como son: &quot;Taxi: Modelos de vehículos&quot; y &quot;Taxi: Reservas de parada en vía pública&quot;.   A la derecha, en documentación asociada, tiene un documento con el calendario para la sustitución de vehículos.  ";transporte;Transportes,;04/11/2014;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Censo de locales y sus actividades: Histórico;" Fichero de microdatos del censo de locales y actividades del Ayuntamiento de Madrid, clasificados según su tipo de acceso (puerta de calle o agrupado), situación (abierto, cerrado...) e indicación de la actividad económica ejercida.   La información (relativa a los epígrafes asociados al local) es sólo a efectos estadísticos . La información sobre las licencias urbanísticas otorgadas al local se obtiene a través de la consulta de licencias concedidas que existe en la web municipal (Consulta de licencias concedidas desde 2005).  Tenga presente, que también existe un dataset disponible con la información actualizada a fecha 30 de septiembre 2.014, llamado &quot;Censo de locales y sus actividades&quot;. La versión de la última actualización de datos siempre estará en ese otro dataset, cuya URI será persistente.   En este dataset ofrece la información existente desde 31 de marzo de 2014 hasta el 31 de diciembre de 2014, en actualizaciones trimestrales,  a partir de esa fecha, la información se ofrece en actualizaciones mensuales.    A la derecha, en documentación asociada, tiene un documento explicativo.  ";economia;;22/10/2014;13/04/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,txt,
Revisión Plan General 2013. Fase Avance. 7 - Patrimonio Histórico;" Contiene los elementos integrantes del Patrimonio Histórico en el municipio de Madrid.   Incluye también los bienes inmuebles de interés cultural.   El sistema de referencia utilizado es EPSG: 25830: Proyección UTM ETRS89 Huso 30 N.  En los metadatos de la capa se encuentra la descripción de los campos.   ADVERTENCIA : La información está elaborada tomando como escala máxima 1:7.500.  La utilización de escalas mayores puede conducir a determinaciones erróneas. ";urbanismo-infraestructuras;;22/10/2014;22/10/2014 00:00;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,
Agenda de eventos en Medialab Prado 90 días;" La agenda de eventos se ha obtenido directamente de la web de MediaLab-Prado     http://medialab-prado.es/     y recoge las actividades que se celebran en el mes actual, y los dos próximos meses.     IMPORTANTE   : Tenga presente que esta agenda se actualiza en el portal de datos abiertos una vez al mes, por lo que puede sufrir algún cambio de última hora. Por ello, le recomendamos que siempre  revise la web de Medialab-Prado antes de asistir a cualquier evento . También tenga presente que dependiendo del tipo de evento, puede ser necesario el registro previo.   Medialab-Prado  es un programa del  Área de Las Artes, Deportes y Turismo del   Ayuntamiento de Madrid . Se concibe como un laboratorio ciudadano de producción, investigación y difusión de proyectos culturales que explora las formas de experimentación y aprendizaje colaborativo que han surgido de las redes digitales.   Sus objetivos son:   Habilitar una plataforma abierta que invite y permita a los usuarios configurar, alterar y modificar los procesos de investigación y producción.  Sostener una comunidad activa de usuarios a través del desarrollo de esos proyectos colaborativos.  Ofrecer diferentes formas de participación que permitan la colaboración de personas con distintos perfiles  ( artístico, científico, técnico )  , niveles de especialización  ( expertos y principiantes )  y grados de implicación.    Para alcanzar estos objetivos Medialab-Prado ofrece:   Un  espacio  permanente de información, escucha y encuentro atendido por  mediadores culturales  que explican la naturaleza del espacio y ponen en contacto a personas con personas, a personas con proyectos, a proyectos con proyectos.   Convocatorias abiertas  para la presentación de propuestas y la participación en el desarrollo colaborativo de proyectos.   Un  programa de actividades  compuesto por talleres de producción y de formación, seminarios y debates, reuniones de diferentes grupos de trabajo, muestras de proyectos, conferencias y otros eventos como conciertos y performances.  Una atmósfera de trabajo pensada especialmente para el  encuentro , la  cooperación  y el  intercambio , donde caben la vida y los afectos, el valor de lo informal y de la cercanía.  ";cultura-ocio;Cultura y Ocio,;24/10/2014;04/05/2015 00:00;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Templos e iglesias no católicas;" Relación de los templos e iglesias de distintas religiones y confesiones, no católicos, en la Ciudad de Madrid.   Nota:  la información proporcionada es la existente en  www.madrid.es , y los datos están actualizados en junio de 2013. Es posible que no se trate de una relación completa de todos los templos de Madrid Capital. ";cultura-ocio;;20/10/2014;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Templos e iglesias católicas;" Relación de los templos e iglesias católicas en la Ciudad de Madrid.   Nota:  la información que se ofrece es la existente en  www.madrid.es , y está actualizada en mayo de 2013. Es posible que no se trate de una relación completa de todos los templos de Madrid Capital. ";cultura-ocio;;18/10/2014;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Bici: Ciclocarriles;" Vía ciclista especialmente acondicionada, destinada en primer lugar a las bicis y en la que los vehículos motorizados deberán circular a una velocidad máxima de 30 Km/h, o inferior si así estuviera específicamente señalizado. ";transporte;;01/07/2014;04/12/2014 00:00;semestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,shp,kml,
Padrón Municipal: Histórico;" Información del Padrón municipal de habitantes de la ciudad de Madrid a primer dia de cada mes, detallado a nivel de distrito, barrio y sección censal, y agregado por sexo y edad.  Tenga presente, que también existe un dataset con la información del último mes disponible llamado &quot;Padrón Municipal&quot;. La versión de la última actualización de datos siempre estará en ese otro dataset, cuya URI será persistente.  Puede encontrar mucha más información demográfica en la sección de  demografía y población  en la web municipal, asi como en el  Banco de Datos , de la sección estadística, permitiendo esta última construir consultas bajo demanda. ";demografia;;07/10/2014;;mensual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,txt,
Centros de Servicios Sociales Municipales;" Listado de Centros de Servicios Sociales Municipales, donde se ofrecen los siguientes servicios:   Información, orientación y asesoramiento sobre derechos y recursos sociales  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social.  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social.   Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.      A la derecha, en documentación asociada, tiene un documento explicativo.  ";sociedad-bienestar;;06/10/2014;;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,rdf,geo,xml,
Estudio del Parque Circulante de la ciudad de Madrid 2013;" El tráfico rodado es la actividad con mayor contribución a las emisiones de contaminantes atmosféricos en la ciudad de Madrid, tal y como ocurre en la mayoría de las grandes áreas metropolitanas del mundo. El cálculo de las emisiones del tráfico rodado requiere información detallada sobre la tipología y características de los vehículos que circulan en el municipio de Madrid. Por este motivo, la Dirección General de Sostenibilidad y Planificación de la Movilidad (Área de Gobierno de Medio Ambiente y Movilidad) ha dirigido la realización del &ldquo;Estudio del Parque Circulante de la ciudad de Madrid 2013&rdquo;. Este estudio es la segunda edición del Parque Circulante, tras el realizado anteriormente por el Ayuntamiento en 2008 y 2009.    A la derecha, en documentación asociada, tiene un documento explicativo.  ";transporte;;26/09/2014;;sindefinir;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Puntos de Recarga de vehículos eléctricos ubicados en vía pública;" Inventario de puntos de recarga de vehículos eléctricos ubicados en vía pública en el término municipal de Madrid.  El Ayuntamiento de Madrid ha iniciado un proceso de renovación de la infraestructura de recarga en vía pública. Las terminales ubicadas en vía pública se se están poniendo progresivamente en  funcionamiento, en el marco del Convenio piloto para la puesta en marcha de un proyecto de interoperabilidad de la infraestructura de recarga firmado el entre el Ayuntamiento de Madrid, EMT, IBIL Gestor de Carga de Vehículo Eléctrico, S.A. y GIC Gestión Inteligente de Cargas S.L.   Para recargar en los puntos en vía pública es necesario ponerse en contacto con uno de los dos gestores de carga para solicitar la tarjeta que habilita la recarga  e informarse de las condiciones y tarifas aplicables:       IBIL  Correo electrónico:  altasmadrid@ibil.es  Tfno: 902 540 810 Web:  http://www.ibil.es/      GIC   Correo electrónico:  info@recargagic.com  Tfno: 902 103 498 Web:  http://www.recargagic.com/        Para más información consultar la web:    http://www.movilidadelectricamadrid.es/m,294/inicio  ";transporte;;26/09/2014;;semestral;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
Calendario escolar  para el curso 2014-2015;" Calendario escolar para el curso 2014-2015 en el ámbito de la ciudad de Madrid  Recoge los días determinados en la Orden 2200/2014, de 8 de julio, de la Consejería de Educación, Juventud y Deporte, por la que se establece el Calendario Escolar para el curso 2014-2015 en los centros educativos no universitarios sostenidos con fondos públicos de la Comunidad de Madrid.   A la derecha, en documentación asociada, tiene un documentos de normativa.  ";sector-publico;;26/09/2014;26/09/2014 00:00;anual;Ayuntamiento de Madrid;http://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,
